, Prepared by Financial Controller Justin Pennish,,,
, 2016-2017 Executive Budget,,,
, Presented by President Daniel Juarez,,,
,Associated Students,Passed by A.S. Senate on 10/12/2016,,
,,,,
OPERATING RESERVES,,DETAILS,LINE ITEMS,AMOUNT
    Reserve Balances & Contributions,, $,,174140.98
,2016-2017 Mandate Reserves,,163025.98,
,2016-2017 Senior Memory Book Reserve Previous Balance,,11115,
,2016-2017 Senior Memory Book Contribution,, TBD,
,2016-2017 Lecture Notes Carryover,,0,
,2016-2017 Committed Reserve,,210540.55,
,VCSA Loan Repayment,,-210540.55,
,,,,
REFERENDUM CARRYFORWARD,,,,
    Pulse Referendum Carryforward,,,,TBD
,2015-2016 SPACES Carryforward,, TBD,
,2015-2016 ASP Carryforward,,TBD,
,2015-2016 SIAPS Carryforward,,TBD,
KSDT Carryforward,,,,78603.25
, 2015-2016 Carryforward,,78603.25,
SSC Carryforward,,,,100000
,2015-2016 Carryforward,,100000,
,,,,
NONREFERENDUM CARRYFORWARD,,,,
 A.S. Carryforward,,,,47032.9
,2015-2016 Carryforward,,47032.9,
,,,,
CAMPUS ACTIVITY FEE INCOME,,,,
Activity Fee Income,,,,5171256
,"Estimated Activity Fee ($67.25 x 25,632 x 3)",,5171256,
EXPENDABLE ACTIVITY FEE FUNDS TOTAL,,,,5171256
,,,,
ALLOCATIONS,, DETAILS,LINE ITEMS,AMOUNT
Referendum and Return to Aid,,,,2258148.08
,Return to Aid,,,1031367.6
,Student Promoted Access Center for Education and Services (SPACES),,,460607.04
, SPACES SAO II (3.0 FTE)*,253128,,
, SPACES AS Administrative Support (.8 FTE)*,53226,,
, Student Life Business Office Fund Manager (.25 FTE)*,17748,,
, Student Life Business Office Student Gov. Specialist (.25 FTE)*,19681,,
, Student Life Business Office Human Resources (.15 FTE)*,12233,,
, Administrative Analyst Supervisor (.05 FTE)*,4882,,
, Desktop Support (.08 FTE)*,6626,,
, Applications Programmer (.15 FTE)*,17787,,
, Staff Development,4500,,
, SPACES Expendable Funds,70796.04,,
,Academic Success Program (ASP),,,75358.08
,Student Initiated Access Programs and Services (SIAPS),,,75358.08
,Student Sustainability Collective,,,225305.28
, Student Life Business Office Student Gov. Specialist (.25 FTE)*,19681,,
, Desktop Support (.03 FTE)*,2485,,
, Student Life Business Office Human Resources (.15 FTE)*,12233,,
, Applications Programmer (.15 FTE)*,17787,,
, SSC Expendable Funds,173119.28,,
,"KSDT ($1.10 x 25,632 x 3)",,,84585.6
, Advisor (.2 FTE)*,13306,,
, Public Events Manager Senior (.1 FTE)*,9330,,
, KSDT Expendable Funds,61949.6,,
,"College Councils ($.06 x 25,632 x 3)",,,49982.4
,"UCSA Membership ($1 x 25,632 x 3)",,,76896
,Alternative Media and Student Services,,,178688
, Graphic Studio Manager (1.0 FTE)*,90337,,
, Sr. Graphic Artist (1.0 FTE)*,88351,,
EXPENDABLE FUNDS AFTER REFERENDUM AND RETURN TO AID ALLOCATION,,,,2913107.92
Other Income,,,,114216.86
,Graphic Studio Income,15719.4,,
,Student Sustainability Collective Income,51464.56,,
,2015-2016 A.S. Carryforward,47032.9,,
EXPENDABLE FUNDS AFTER OTHER INCOME,,,,3027324.78
,,,,
ALLOCATIONS,,DETAILS, LINE ITEMS, AMOUNT
Career Employees,,,,694793
, AS Administrative,,,283212
, Applications Programmer (.70 FTE)*,83004,,
, Desktop Support (.21 FTE)*,17393,,
, SAO III Supervisor (1.0 FTE)*,84376,,
, SAO II A.S. Advisor (1.0 FTE)*,84376,,
, Basic Needs Advisor (.33 FTE)*,14063,,
, Student Life Business Office,,,166739
, Student Government Specialist (.5 FTE)*,39363,,
, Student Organization Fund Manager (.25 FTE)*,17748,,
, Student Organization Fund Manager (.5 FTE)*,35683,,
, Student Government and Organizations Specialist (.5 FTE)*,33226,,
, Human Resources (.2 FTE)*,16310,,
, Administrative Analyst Supervisor (.25 FTE)*,24409,,
, University Events Office,,,244842
, Public Events Manager Principal (0.7 FTE)*,86036,,
, Public Events Manager Senior (1.0 FTE)*,74835,,
, Public Events Manager Senior (.9 FTE)*,83971,,
EXPENDABLE FUNDS AFTER CAREER EMPLOYEES,,,,2332531.78
Office of the President,,,,79000
,Office of the President,,,15300
, Initiatives,1000,,
, Triton Community Closet Startup Fund,10000,,
, Outreach and Marketing,800,,
, Travel,2500,,
, Operating,1000,,
,Office of Student Advocacy,,,3750
, Know Your Rights,2500,,
, Forensic Fund,550,,
, Discover the Law,700,,
, Office of College Affairs,,,7650
, Mixers (3),800,,
, College Council Visits,300,,
, Operating,100,,
, Sun God Kits,400,,
, Marketing,200,,
, All Council Retreat,500,,
, Programming,2000,,
, Leadership Development,250,,
, Know Your Councils,100,,
, A.S. Fellowship,3000,,
, Office of Academic Affairs,,,15500
, A.S. Grants,15000,,
, Marketing,500,,
, Office of Food and Housing Resources,,,2600
, Marketing,500,,
, Programming,1500,,
, Outreach and Marketing,500,,
, Supplies,100,,
, Triton Food Pantry,,,34200
, Initiatives,4000,,
, Operations,200,,
